City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Lorengau,PG,81.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
166,Barra Dos Coqueiros,BR,77.02,overcast clouds,-10.9089,-37.0386,Quality Hotel Aracaju
167,Luganville,VU,76.5,clear sky,-15.5333,167.1667,The Espiritu Hotel
172,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
175,Kavieng,PG,81.45,few clouds,-2.5744,150.7967,Nusa Island Retreat
183,Hithadhoo,MV,82.49,few clouds,-0.6,73.0833,Scoop Guest House
184,Atuona,PF,76.95,light rain,-9.8,-139.0333,Villa Enata
190,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
191,Katsuura,JP,75.34,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
194,Friedrichshafen,DE,77.16,clear sky,47.65,9.4833,HOTEL ZEPPELIN
195,Nishihara,JP,83.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
200,Tarakan,ID,78.3,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
203,Quijingue,BR,85.12,clear sky,-10.7525,-39.2092,Pousada Sabor Da Terra
204,Since,CO,86.38,scattered clouds,9.2439,-75.1468,Mazzeo
205,Villa Literno,IT,84.15,few clouds,41.0099,14.0805,La Meta Motel
207,Piritiba,BR,76.12,broken clouds,-11.7303,-40.5553,Pousada Capim Guine
208,Hamilton,US,76.24,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
210,Umm Lajj,SA,88.11,overcast clouds,25.0213,37.2685,Moon light Furnished Units
215,Kavaratti,IN,81.28,overcast clouds,10.5669,72.642,Green leaf
216,Tolmezzo,IT,79.75,overcast clouds,46.4075,13.0175,Albergo Roma
220,Muros,ES,82.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
225,Indiaroba,BR,79.39,scattered clouds,-11.5192,-37.5117,Pura Vida Bahia
226,Ramat Yishay,IL,80.11,clear sky,32.7006,35.1797,Zimmer & Spa Kesem Hamaga
228,Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,39 On Nile Guest House
230,Beberibe,BR,83.48,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
233,Oranjestad,AW,85.95,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
240,Rosarito,MX,81.41,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
244,Kosugi,JP,75.69,overcast clouds,36.7167,137.1,Relaxing house de Akemi
245,Aragarcas,BR,88.45,clear sky,-15.8975,-52.2508,Pousada Tropical
246,Suicheng,CN,83.35,broken clouds,33.8963,117.9331,Junyue Hotel
247,Makat,KZ,88.2,scattered clouds,47.6469,53.3463,Umit
252,Beidao,CN,76.03,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
255,Vidalia,US,87.91,scattered clouds,32.2177,-82.4135,Quality Inn & Suites
256,Puyang,CN,80.42,overcast clouds,29.4603,119.8861,Xianhua Sandalwood Celebrity Hotel
260,Salalah,OM,77.83,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
261,Kijang,KR,80.33,scattered clouds,35.2442,129.2139,Samyang Beach Villa
263,Victoria,HK,86.38,clear sky,22.2855,114.1577,Mini Central
266,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
267,Binzhou,CN,76.64,overcast clouds,37.3667,118.0167,Hampton By Hilton Binzhou
268,Paragominas,BR,87.78,broken clouds,-2.9667,-47.4833,INOVA
269,Pedro Juan Caballero,PY,78.76,clear sky,-22.5472,-55.7333,Hotel Pousada do Bosque
279,Thinadhoo,MV,82.65,few clouds,0.5333,72.9333,
281,Kaduqli,SD,76.41,light rain,11.0167,29.7167,Nussyba
282,Yangjiang,CN,79.56,scattered clouds,21.85,111.9667,HUALUXE Yangjiang City Center
285,Porlamar,VE,84.29,overcast clouds,10.958,-63.8491,Hotel Bella Vista
286,Abonnema,NG,75.16,light rain,4.7084,6.7931,Corper's Lodge Obonoma
