City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Rawson,AR,2022-07-06 21:01:47,-43.3002,-65.1023,49.86,42,43,13.15
112,Qaanaaq,GL,2022-07-06 21:01:47,77.484,-69.3632,40.26,95,100,1.63
113,Lantana,US,2022-07-06 21:01:47,26.5867,-80.052,92.05,70,75,13.8
114,Kodiak,US,2022-07-06 21:01:48,57.79,-152.4072,53.38,93,100,5.66
115,Tuktoyaktuk,CA,2022-07-06 21:01:48,69.4541,-133.0374,52.27,73,9,8.86
116,Oranjemund,NA,2022-07-06 21:01:48,-28.55,16.4333,53.85,79,0,7.58
117,Coquimbo,CL,2022-07-06 21:01:49,-29.9533,-71.3436,59.5,62,0,9.04
118,Provideniya,RU,2022-07-06 21:01:49,64.3833,-173.3,48.36,87,100,8.99
119,Constitucion,CL,2022-07-06 21:01:49,-35.3333,-72.4167,50.52,73,49,7.87
120,Shambu,ET,2022-07-06 21:01:50,9.5667,37.1,52.07,95,98,2.26
121,Pilar,BR,2022-07-06 20:58:23,-9.5972,-35.9567,73.33,94,14,7.23
122,Bambous Virieux,MU,2022-07-06 21:01:50,-20.3428,57.7575,69.22,60,91,16.91
123,Lyuban,BY,2022-07-06 21:01:50,52.7985,28.0048,55.27,91,100,9.06
124,Mareeba,AU,2022-07-06 21:01:51,-17.0,145.4333,55.44,93,0,1.92
125,Isangel,VU,2022-07-06 21:01:51,-19.55,169.2667,77.27,81,99,7.09
126,Bethel,US,2022-07-06 21:01:52,41.3712,-73.414,83.68,66,91,1.99
127,Bredasdorp,ZA,2022-07-06 21:01:52,-34.5322,20.0403,47.7,87,43,3.47
128,Guerrero Negro,MX,2022-07-06 21:01:52,27.9769,-114.0611,75.04,60,7,15.97
129,Tiruchchendur,IN,2022-07-06 21:01:53,8.4833,78.1167,82.42,66,100,12.77
130,Marang,MY,2022-07-06 21:01:53,5.2056,103.2059,78.42,86,97,4.0
131,Ayr,GB,2022-07-06 21:01:53,55.4627,-4.6339,57.18,82,40,20.71
132,Djenne,ML,2022-07-06 21:01:54,13.9061,-4.5533,90.43,40,62,12.28
133,Omsukchan,RU,2022-07-06 20:57:10,62.5333,155.8,66.85,67,13,11.56
134,Nyurba,RU,2022-07-06 21:01:54,63.2842,118.3319,61.43,83,100,3.13
135,Lagoa,PT,2022-07-06 21:01:55,39.05,-27.9833,65.19,82,100,15.35
136,Ponta Delgada,PT,2022-07-06 21:01:55,37.7333,-25.6667,70.5,72,75,9.22
137,Daru,PG,2022-07-06 21:01:55,-9.0763,143.2092,78.04,90,89,14.34
138,Carlisle,US,2022-07-06 21:01:56,40.2015,-77.1889,87.19,70,39,3.76
139,Whitehorse,CA,2022-07-06 21:01:56,60.7161,-135.0538,79.11,22,22,7.61
140,Sakakah,SA,2022-07-06 21:01:56,29.9697,40.2064,85.41,13,0,10.13
141,Butaritari,KI,2022-07-06 21:02:57,3.0707,172.7902,81.73,78,100,21.61
142,Kaitangata,NZ,2022-07-06 21:02:57,-46.2817,169.8464,44.73,75,100,3.38
143,Tuatapere,NZ,2022-07-06 21:02:58,-46.1333,167.6833,38.5,89,100,5.14
144,Airai,TL,2022-07-06 21:02:58,-8.9266,125.4092,51.04,89,73,2.53
145,Okato,NZ,2022-07-06 21:02:58,-39.2,173.8833,50.52,100,100,7.52
146,Naron,ES,2022-07-06 21:02:59,43.5167,-8.1528,68.85,83,5,15.46
147,Arraial Do Cabo,BR,2022-07-06 21:02:59,-22.9661,-42.0278,72.66,72,0,26.87
148,Kahului,US,2022-07-06 21:03:00,20.8947,-156.47,80.96,73,96,13.0
149,Touros,BR,2022-07-06 21:03:00,-5.1989,-35.4608,75.2,88,28,12.35
150,Taltal,CL,2022-07-06 21:03:00,-25.4,-70.4833,62.13,66,50,5.3
151,San Patricio,US,2022-07-06 21:03:01,28.017,-97.5169,97.52,45,55,17.09
152,Gloucester,GB,2022-07-06 21:03:01,51.8657,-2.2431,65.89,73,17,1.99
153,Okha,RU,2022-07-06 21:03:01,53.5739,142.9478,66.47,77,43,11.86
154,Victoria,HK,2022-07-06 20:58:14,22.2855,114.1577,84.33,89,100,5.99
155,Talnakh,RU,2022-07-06 21:03:02,69.4865,88.3972,50.11,95,100,8.88
156,Yulara,AU,2022-07-06 21:03:02,-25.2406,130.9889,40.64,39,0,7.58
157,Torbay,CA,2022-07-06 21:00:12,47.6666,-52.7314,68.88,67,100,13.0
158,Longyearbyen,SJ,2022-07-06 21:01:58,78.2186,15.6401,42.64,61,20,14.97
159,Poso,ID,2022-07-06 21:03:03,-1.3959,120.7524,77.18,85,100,2.93
160,Mehamn,NO,2022-07-06 21:03:04,71.0357,27.8492,53.55,87,0,2.3
161,Havelock,US,2022-07-06 21:01:15,34.8791,-76.9013,91.96,78,100,10.0
162,Hovd,MN,2022-07-06 21:03:04,48.0056,91.6419,57.18,41,1,5.93
163,Cortez,US,2022-07-06 21:03:04,37.3489,-108.5859,78.93,41,0,9.22
164,Sharan,RU,2022-07-06 21:03:05,54.8167,54.0,59.0,93,25,4.99
165,Ocampo,MX,2022-07-06 21:03:05,21.65,-101.5,78.01,22,0,12.39
166,Bilma,NE,2022-07-06 21:03:06,18.6853,12.9164,92.14,11,0,12.55
167,Port Hawkesbury,CA,2022-07-06 21:03:07,45.6169,-61.3485,61.92,96,100,18.01
168,Batemans Bay,AU,2022-07-06 21:03:07,-35.7167,150.1833,56.1,80,99,5.55
169,Menongue,AO,2022-07-06 21:03:07,-14.6585,17.691,55.65,45,11,4.92
170,Lompoc,US,2022-07-06 21:03:08,34.6391,-120.4579,84.02,68,2,11.99
171,Ekibastuz,KZ,2022-07-06 21:03:08,51.6667,75.3667,63.07,63,93,9.57
172,Nizwa,OM,2022-07-06 21:03:09,22.9333,57.5333,80.91,78,100,2.75
173,Tazovskiy,RU,2022-07-06 21:03:09,67.4667,78.7,47.61,85,1,4.09
174,Payo,ID,2022-07-06 21:03:10,-3.7508,103.6372,71.17,98,12,1.66
175,Gidam,IN,2022-07-06 21:03:10,18.9833,81.4,74.12,97,100,2.1
176,Yushu,CN,2022-07-06 21:03:10,44.8,126.5333,71.08,97,100,8.57
177,Vestmannaeyjar,IS,2022-07-06 21:03:11,63.4427,-20.2734,52.32,97,100,19.75
178,Tiksi,RU,2022-07-06 21:03:11,71.6872,128.8694,36.1,88,86,2.35
179,Zaraza,VE,2022-07-06 21:03:11,9.3503,-65.3245,83.53,74,97,3.87
180,Codrington,AU,2022-07-06 21:03:12,-38.2667,141.9667,49.53,74,12,13.44
181,Ponta Do Sol,PT,2022-07-06 21:03:12,32.6667,-17.1,69.12,64,13,4.74
182,Severnyy,RU,2022-07-06 21:03:13,50.677,36.5532,77.04,47,0,6.71
183,Banepa,NP,2022-07-06 21:04:13,27.6298,85.5214,71.92,94,75,2.3
184,Plouzane,FR,2022-07-06 21:04:13,48.3833,-4.6167,60.85,85,0,11.5
185,Pirapo,PY,2022-07-06 21:04:14,-26.85,-55.5333,70.72,53,100,6.85
186,Wilmington,US,2022-07-06 21:00:40,34.2257,-77.9447,93.99,65,72,7.0
187,Bud,US,2022-07-06 21:04:14,39.447,-86.1758,92.05,60,98,10.69
188,Pangai,TO,2022-07-06 21:04:15,-19.8,-174.35,75.27,65,81,20.94
189,Sao Filipe,CV,2022-07-06 21:04:15,14.8961,-24.4956,75.74,84,93,12.53
190,Kota Bahru,MY,2022-07-06 21:04:16,6.1333,102.2386,76.08,92,98,4.38
191,Puno,PE,2022-07-06 21:04:16,-15.8333,-70.0333,53.1,31,18,7.96
