City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Marrakesh,MA,31.6315,-8.0083,113.07,10,20,6.91,few clouds
114,Mandalgovi,MN,45.7625,106.2708,62.02,54,44,10.47,scattered clouds
115,Lavumisa,SZ,-27.31,31.892,62.8,74,4,4.56,clear sky
116,Lasa,IT,46.6166,10.7002,76.37,40,48,6.42,scattered clouds
117,Tecolutilla,MX,18.2833,-93.3167,85.98,67,0,3.44,clear sky
118,Sitka,US,57.0531,-135.33,57.09,88,100,3.44,overcast clouds
119,Castro,BR,-24.7911,-50.0119,72.9,42,34,6.24,scattered clouds
120,Dunedin,NZ,-45.8742,170.5036,39.79,70,99,4.0,overcast clouds
121,Saldanha,ZA,-33.0117,17.9442,55.45,88,59,17.52,light rain
122,Esperance,AU,-33.8667,121.9,62.26,51,99,17.05,overcast clouds
123,Rio Grande,BR,-32.035,-52.0986,59.11,89,100,14.12,moderate rain
124,Kununurra,AU,-15.7667,128.7333,62.58,39,60,8.05,broken clouds
125,Loandjili,CG,-4.7561,11.8578,72.75,82,66,8.72,broken clouds
126,Buchanan,LR,5.8808,-10.0467,77.0,84,100,11.25,light rain
127,Bethel,US,41.3712,-73.414,83.62,49,20,11.5,few clouds
128,Taicheng,CN,38.731,113.228,64.11,94,93,3.04,moderate rain
129,Igarka,RU,67.4667,86.5833,58.08,86,53,9.82,broken clouds
130,Labuhan,ID,-6.8844,112.2051,76.06,82,8,6.8,clear sky
131,Sidney,AU,-33.8679,151.2073,50.77,72,75,14.97,shower rain
132,Belmonte,BR,-15.8631,-38.8828,74.91,78,57,13.62,broken clouds
133,Bara,NG,10.3744,10.7288,82.18,45,79,6.04,broken clouds
134,Muroto,JP,33.2833,134.15,78.44,89,54,2.08,broken clouds
135,Khatanga,RU,71.9667,102.5,45.61,93,100,2.55,overcast clouds
136,Chivacoa,VE,10.1603,-68.895,77.81,87,95,4.7,overcast clouds
137,Vaini,TO,-21.2,-175.2,74.62,75,15,22.08,few clouds
138,Kavadarci,MK,41.4331,22.0119,60.84,87,100,2.89,overcast clouds
139,Great Falls,US,47.5002,-111.3008,80.69,42,0,9.22,clear sky
140,Bonito,BR,-21.1211,-56.4819,91.89,23,13,11.32,few clouds
141,Lengshuijiang,CN,27.6881,111.4294,80.42,85,9,2.68,clear sky
142,Poum,NC,-20.2333,164.0167,77.29,84,13,16.98,few clouds
143,Nome,US,64.5011,-165.4064,53.67,82,0,0.0,clear sky
144,Cayenne,GF,4.9333,-52.3333,82.44,78,75,4.61,broken clouds
145,Bandarbeyla,SO,9.4942,50.8122,80.11,62,64,29.24,broken clouds
146,Tiksi,RU,71.6872,128.8694,50.0,58,61,11.32,broken clouds
147,Old Shinyanga,TZ,-3.55,33.4,73.99,30,1,4.16,clear sky
